name,customer_id,customer_tenure,number_of_services_or_products,average_monthly_usage,last_interaction_date,days_since_last_interaction,number_of_complaints,complaints_resolved_ratio,total_spent,average_transaction_value,outstanding_balance,payment_frequency,discount_or_offer_received,customer_support_calls,account_status,churn_flag
Emma Miller,8a24ffc2-0dd4-41ca-89b0-3331d06f7811,17,6,352.88,2024-07-14,360,3,0.57,9061.72,755.14,2925.32,Monthly,1,7,Closed,0
Liam Johnson,e425ef97-540f-419d-b690-6b2d26a40420,60,1,430.19,2024-10-08,274,3,0.09,3993.23,266.22,2281.73,Bi-Monthly,1,14,Closed,1
Liam Taylor,b2f19f78-8e92-401b-83aa-660d1f365d0a,79,8,333.74,2025-05-07,63,8,0.38,5925.48,846.5,2888.94,Bi-Monthly,1,0,Closed,1
Noah Moore,68bd0b96-335c-4039-bd1a-d7781918b96c,84,1,361.65,2024-12-21,200,2,0.0,6255.92,521.33,4421.4,Bi-Monthly,0,10,Closed,1
Olivia Wilson,0fdb876b-b67b-4246-a105-86e87aae5f4f,118,1,292.43,2024-07-16,358,8,0.3,8936.3,1117.04,374.46,Bi-Monthly,0,12,Suspended,0
James Smith,95e52b29-3319-455c-a52f-d6b65226059d,37,4,442.34,2025-01-04,186,10,0.5,2307.6,209.78,3993.33,Quarterly,1,15,Closed,0
Isabella Williams,f5bd602f-98ed-474a-b5a1-8b8435791684,103,4,361.64,2024-08-24,319,9,0.21,7726.9,1545.38,4351.89,Monthly,1,11,Closed,0
James Williams,8a9c46b0-9697-4752-bcbb-bcf235a9cd3d,31,5,452.86,2025-05-03,67,4,0.11,6435.66,429.04,3951.25,Bi-Monthly,1,1,Closed,1
Sophia Brown,43cea8f7-85b6-476a-b022-462d0c09d5c3,17,6,341.9,2024-08-29,314,8,0.9,8243.29,588.81,807.69,Monthly,0,15,Suspended,1
James Wilson,85d8a094-9c52-41e4-880e-aab4208b1228,11,3,449.47,2025-03-09,122,8,0.41,8707.45,725.62,1837.11,Quarterly,1,1,Active,0
William Brown,f4b9bbf3-0f36-43e1-b60e-be5c6fe89526,68,6,269.56,2025-03-15,116,8,0.01,4751.22,395.94,4711.7,Quarterly,0,2,Active,0
Oliver Miller,32f04f46-b70e-4fe6-8e7e-f0340da8c150,38,4,218.42,2024-09-29,283,6,0.06,4697.82,469.78,1265.3,Monthly,0,6,Active,0
Isabella Wilson,39989ed3-23c2-47e1-8ef5-532162b542d0,81,7,124.34,2025-01-26,164,2,0.37,7713.78,771.38,358.43,Monthly,1,8,Suspended,1
Olivia Jones,f5f7f1b1-3ece-4a7e-90b0-057bb672b615,82,8,239.04,2025-03-23,108,0,0.0,4111.45,316.27,2959.67,Quarterly,0,1,Active,0
Sophia Davis,901eb41c-b0ec-4d43-9442-fd5e0ded7b8a,49,2,191.88,2025-04-08,92,2,0.96,9874.7,1645.78,2587.79,Quarterly,1,6,Active,0
Noah Miller,9630f35a-59df-4b22-9649-d7224481e937,119,1,215.59,2025-04-14,86,7,0.79,6379.76,911.39,1878.66,Quarterly,0,2,Closed,1
James Jones,2793da64-60d3-4c1a-add1-6ef19074c120,49,7,404.36,2025-07-07,2,5,0.55,2078.32,346.39,2958.17,Monthly,0,10,Suspended,1
Isabella Moore,63ae6f64-992b-4000-9ec3-23566382f22d,70,6,294.45,2024-12-26,195,2,0.19,1125.58,93.8,3044.74,Monthly,1,0,Closed,0
Noah Williams,56d72218-70e3-4917-b755-69afc0501556,77,3,332.98,2025-03-11,120,1,0.56,7815.92,1563.18,4121.52,Quarterly,1,5,Suspended,1
Emma Wilson,8b61a594-4e30-4c3e-b31f-39efccc13384,67,3,149.04,2024-09-10,302,5,0.41,6227.69,889.67,153.58,Quarterly,0,1,Closed,1
Liam Taylor,4ae77d33-169c-4d30-991c-24533366bd5c,28,2,222.28,2024-12-07,214,3,0.02,1429.74,204.25,1505.99,Monthly,1,6,Suspended,1
Sophia Miller,12545039-3b1a-455b-a6ba-e3dea4b62870,56,1,491.0,2025-05-18,52,9,0.62,6457.65,717.52,3415.44,Quarterly,0,2,Closed,1
Noah Davis,ac2567e9-b555-48e3-9732-6475fd1bf14e,115,3,228.45,2024-12-12,209,4,0.76,4808.85,961.77,2740.26,Quarterly,1,15,Closed,0
Olivia Moore,0e4259ca-b999-43e3-8626-9b3409914158,11,6,278.97,2025-04-13,87,2,0.79,8467.3,1058.41,2456.04,Quarterly,0,4,Active,0
Isabella Brown,bae5a176-6a96-4dbd-9a77-f3fb151eeb17,47,1,273.51,2024-09-03,309,1,0.57,9600.46,640.03,3915.25,Quarterly,1,11,Suspended,1
Olivia Wilson,5c0d199c-8450-4e74-b525-a7bf0a23c1c5,90,7,226.43,2024-08-05,338,7,0.25,6263.93,782.99,2583.03,Quarterly,1,2,Suspended,0
Oliver Wilson,dd0de06a-acd5-4ce9-85fb-c2cc10431f51,104,1,313.88,2024-10-07,275,6,0.59,6240.07,445.72,1080.1,Quarterly,1,13,Suspended,0
William Brown,75833985-07bd-48fb-842a-f61afaa006dd,56,1,477.29,2025-06-17,22,4,0.75,6055.13,1211.03,3894.93,Bi-Monthly,0,1,Active,0
Olivia Brown,1404c442-19cb-4590-b4a6-524e2a05d7ff,48,8,320.29,2024-09-28,284,3,0.38,8857.98,1265.43,3393.46,Monthly,1,13,Suspended,0
Ava Williams,c35d272f-e0dd-499d-8074-5baccec866c2,110,1,398.25,2024-12-20,201,3,0.85,2884.49,480.75,1985.41,Bi-Monthly,0,8,Closed,1
Noah Wilson,c5335de7-7769-4635-9a6e-8bcf2008a5c7,76,8,469.79,2024-11-25,226,9,0.7,4133.25,516.66,3173.3,Monthly,1,14,Closed,0
Sophia Moore,11aaa046-23a3-4faf-91f5-68d300380bb4,74,2,139.99,2025-01-17,173,8,0.73,9214.57,837.69,4177.45,Quarterly,1,10,Closed,0
Noah Brown,83904a5c-9d04-4d96-993a-58871384c8e0,14,6,341.78,2025-05-06,64,10,0.32,2837.01,189.13,3344.64,Monthly,0,10,Closed,0
Emma Williams,5cf0c3dc-5fac-4371-ad2c-3133b4cd5d08,89,2,314.89,2025-01-30,160,7,0.46,2628.67,175.24,2112.72,Monthly,0,15,Closed,0
William Moore,9360691a-86a3-474e-94de-45e69ce7cce4,107,3,117.99,2025-06-27,12,9,0.6,1442.81,288.56,2425.53,Quarterly,0,3,Suspended,0
Liam Moore,9bdc8c75-2204-4aeb-9e66-325b67ddc8e6,96,1,330.02,2024-11-15,236,3,0.66,1311.65,163.96,2082.2,Monthly,0,6,Suspended,1
Isabella Miller,166c5eaf-6c9d-491e-9e77-94ba804416cf,21,2,154.06,2025-04-24,76,8,0.73,9004.67,1286.38,3653.84,Quarterly,1,3,Active,0
Emma Wilson,921c00c9-50c2-401b-8780-494bad909c44,74,8,256.56,2024-11-25,226,8,0.68,4915.85,614.48,124.54,Quarterly,0,3,Active,0
Oliver Moore,a2ebd800-1a6a-44af-a118-970cdec93b76,89,1,460.78,2025-05-03,67,2,0.1,8987.78,898.78,308.92,Monthly,1,14,Suspended,1
Olivia Taylor,62545617-4364-4d99-9b6f-fc86890c5ad8,85,6,138.44,2024-08-11,332,4,0.87,1764.51,196.06,1243.44,Monthly,0,3,Closed,0
Olivia Johnson,7c00c912-409b-48f6-bdfc-eed91cd4f142,3,3,464.35,2025-03-01,130,6,0.37,6738.61,673.86,1811.3,Bi-Monthly,1,7,Suspended,1
Sophia Davis,74e5331f-c38c-4c60-af2b-0d366f5d374c,42,8,261.98,2025-02-04,155,5,0.98,6205.36,1241.07,655.35,Quarterly,0,15,Suspended,1
James Davis,d48202f7-413f-4106-bb85-9b7e5d703748,99,8,352.35,2025-03-17,114,6,0.4,8850.28,680.79,4640.81,Monthly,1,7,Active,0
James Brown,0b01a050-9add-432f-a13e-988de1da9a52,109,4,422.13,2025-04-03,97,4,0.34,2113.8,211.38,3571.43,Quarterly,0,0,Closed,1
Noah Wilson,1dff5ede-44ba-4cd7-a921-249020f238c0,49,2,250.21,2025-05-06,64,1,0.66,2549.82,318.73,1100.33,Quarterly,1,8,Closed,0
Emma Taylor,e5a7d37f-0644-4257-8488-55af5c48d52a,106,1,165.58,2024-12-14,207,2,0.86,7877.36,984.67,840.08,Bi-Monthly,0,14,Active,0
Emma Davis,7bf92199-0128-42ff-a3e3-03b4d8b7570b,114,2,306.83,2024-08-24,319,2,0.37,1154.97,144.37,1155.37,Quarterly,0,3,Closed,1
William Johnson,52fe3170-3ca4-4b51-a79e-99bb1518e422,48,1,179.14,2024-11-15,236,4,0.39,2181.95,272.74,3301.13,Monthly,1,15,Suspended,1
James Moore,9ae3cb81-8549-4696-98f4-7bd80833d660,99,4,155.26,2024-12-20,201,8,0.4,8323.18,594.51,2696.99,Monthly,1,12,Active,0
Emma Johnson,fc06b34a-298f-4aa0-943c-a03f91e24543,56,1,169.61,2024-09-15,297,3,0.58,3947.1,328.93,4252.09,Quarterly,0,8,Closed,1
Olivia Brown,83063c2d-4d8a-40b3-b308-607f687ef746,102,7,342.45,2025-01-02,188,1,0.5,9812.79,754.83,2519.13,Monthly,1,6,Suspended,1
Noah Wilson,b7ac9b8c-0c23-4dea-8866-90ccf93456d8,31,5,351.43,2025-06-16,23,10,0.74,1526.0,117.38,3793.07,Quarterly,1,7,Active,0
Isabella Wilson,f4f686f6-8784-420c-a9e7-7aaa3f71d4b7,28,4,174.7,2024-10-05,277,1,0.28,4548.71,568.59,2304.02,Quarterly,1,3,Closed,0
Ava Davis,bafa86a6-b62b-4d16-b336-4ff25b5415c4,114,8,422.72,2025-05-18,52,2,0.63,1369.76,136.98,765.94,Quarterly,0,8,Active,0
Liam Smith,01856076-28fc-4e0b-bb86-645275f09586,47,5,325.23,2025-02-21,138,9,0.61,6156.41,615.64,3098.5,Monthly,0,9,Active,0
James Miller,bec12516-cd01-4e3c-8325-5e7ae81a412b,90,4,475.2,2025-01-07,183,2,0.2,8715.49,1452.58,4826.92,Bi-Monthly,1,13,Closed,0
Emma Miller,673c4eba-cd21-4c42-9dcf-4f9d8b5bf868,15,7,353.01,2025-02-06,153,2,0.56,7600.03,1520.01,372.98,Bi-Monthly,1,5,Active,0
Oliver Davis,67e8a5a5-1838-4230-b2fd-f93f4678772b,19,6,343.21,2024-08-11,332,8,0.61,6372.61,910.37,3379.34,Quarterly,0,0,Active,0
James Smith,143722b0-8927-4700-aedd-795417dcd4a3,72,6,256.33,2025-06-06,33,6,0.32,1293.45,117.59,1555.3,Monthly,0,12,Active,0
Oliver Miller,5c835f3f-28c4-41b5-9f74-65cd794e3c0a,19,8,403.94,2024-09-04,308,8,0.1,9467.2,1352.46,2404.84,Quarterly,0,6,Suspended,0
Ava Miller,dcdfe49f-079e-4e33-ada5-c56cf66dcc48,96,5,343.46,2024-09-22,290,1,0.14,9201.01,836.46,1156.91,Bi-Monthly,0,15,Closed,0
Olivia Miller,0e78773b-03d4-420b-bfec-a3d41e101546,60,2,344.85,2024-09-06,306,4,0.6,8108.1,1158.3,3659.52,Quarterly,0,13,Active,0
Oliver Miller,310001f0-4cc1-46c4-b6b9-ef9f2c96c870,100,1,223.9,2025-04-16,84,4,0.9,5127.4,394.42,3454.58,Monthly,1,5,Suspended,1
James Smith,f113c559-8114-4bfc-a56b-41aa1a20e226,106,5,302.5,2024-08-17,326,5,0.03,6352.52,577.5,2838.6,Quarterly,1,9,Active,0
Emma Smith,dcbc4348-8e8d-4d4b-8106-b548f1cb28f8,76,5,184.53,2024-09-24,288,8,0.65,9390.52,1043.39,3483.09,Monthly,0,1,Suspended,0
Noah Moore,79a6fedd-58fa-43fd-b2bb-5984d1b4b9ba,21,2,471.5,2025-03-15,116,0,0.0,5047.02,388.23,4057.1,Bi-Monthly,0,14,Suspended,0
Sophia Wilson,8fee9f1a-5551-4ffd-9626-4d13c74fa6ad,4,3,466.54,2025-02-21,138,0,0.0,6369.23,707.69,1529.88,Bi-Monthly,0,2,Active,0
Isabella Moore,75503f8a-e68a-41fd-bb7f-312854229261,23,7,103.88,2024-10-12,270,0,0.0,1291.82,99.37,1167.92,Bi-Monthly,0,7,Active,0
William Miller,edcebef0-a0eb-42cd-8df8-a33875b73ce4,70,2,413.09,2025-06-16,23,1,0.83,5689.36,517.21,4306.49,Bi-Monthly,0,10,Suspended,1
Olivia Smith,189e4f23-0415-4388-b88b-de6fdc0ee2e7,45,1,494.39,2025-06-04,35,2,0.02,7542.94,838.1,955.9,Monthly,1,9,Suspended,1
Sophia Brown,7e513215-9fdc-4f11-9c97-2ce941fd46be,116,8,300.77,2024-10-23,259,0,0.0,4837.65,322.51,2384.21,Bi-Monthly,0,13,Closed,1
Olivia Taylor,3ba8ec84-fdbc-4602-acf6-b72f80a51b0f,6,8,295.53,2025-01-21,169,2,0.64,9869.18,657.95,3606.0,Quarterly,0,4,Closed,1
Sophia Miller,6716c50b-07f7-4cbb-b34e-8e2922242bd5,96,6,274.4,2025-01-20,170,1,0.62,9483.82,862.17,2297.95,Monthly,1,5,Closed,1
Ava Taylor,0c85596f-ff34-4392-900e-454408849dc6,77,1,216.52,2024-09-27,285,6,0.03,4797.87,399.82,3548.19,Quarterly,0,1,Suspended,0
James Johnson,ed057cd1-de09-473c-9d2d-417600f12663,116,1,381.27,2024-12-16,205,6,0.13,9001.34,1285.91,3896.69,Quarterly,0,3,Suspended,1
Isabella Davis,e896eebc-7478-4101-992c-60dca746fd76,118,6,165.04,2025-02-13,146,6,0.18,2461.7,189.36,2715.27,Quarterly,0,6,Active,0
Ava Jones,63d41c8c-06a0-4218-bcde-63d4742dee1d,34,4,415.14,2024-09-12,300,4,0.94,2804.26,350.53,4250.81,Bi-Monthly,1,0,Suspended,0
Emma Jones,e20da0af-7abf-4555-be41-ae028308c2db,21,3,289.11,2025-04-18,82,6,0.36,4061.59,406.16,4340.44,Monthly,1,12,Active,0
Noah Taylor,55a080dd-130f-4c03-87ed-26b0609e199d,106,2,186.62,2024-09-20,292,6,0.46,4813.35,481.34,2682.54,Bi-Monthly,1,3,Active,0
James Johnson,2191b1f9-cc60-43dd-ba63-7569f14180ea,28,1,119.32,2024-12-15,206,6,0.57,6685.2,477.51,1575.05,Bi-Monthly,0,0,Closed,1
Ava Miller,b8b6684b-5516-41eb-9bcc-1a7de8c5318b,1,1,237.22,2025-01-10,180,9,0.93,1504.57,188.07,4418.53,Monthly,0,10,Active,0
Ava Davis,3040a0d8-5706-4da6-9dac-8f10a799da2d,61,7,398.64,2025-05-13,57,2,0.1,7317.22,1219.54,2493.34,Bi-Monthly,1,8,Suspended,1
Noah Wilson,21da833b-6f20-4376-a8bc-632cca221a6f,33,7,118.44,2025-06-20,19,10,0.85,1703.56,113.57,4822.63,Monthly,0,2,Active,0
Liam Smith,f32287b1-8eeb-417d-af57-9d370016891e,73,6,426.31,2024-10-09,273,9,0.76,5258.87,375.63,1686.59,Bi-Monthly,1,14,Active,0
Emma Johnson,dd984e8b-e68b-4e15-8000-672d703b931d,59,1,136.49,2024-10-29,253,2,0.86,1873.29,124.89,731.17,Bi-Monthly,0,2,Active,0
Sophia Johnson,41a88828-3da2-4056-9073-3dd95e943d11,120,5,374.74,2025-06-05,34,0,0.0,8474.35,847.44,3895.98,Bi-Monthly,0,13,Suspended,1
Olivia Taylor,f126491e-e5a9-47fd-b786-cd7675699eb1,13,8,112.58,2024-11-25,226,3,0.32,6323.21,574.84,749.04,Bi-Monthly,1,1,Closed,0
James Williams,71530763-33be-478e-bb67-67e1f2e2efc5,82,8,347.03,2024-10-14,268,9,0.5,1292.4,215.4,3771.01,Bi-Monthly,0,8,Active,0
William Williams,c6b3198d-9548-41f3-9436-dddd55ac9c93,23,4,316.22,2024-07-12,362,10,0.29,8326.82,555.12,2216.67,Quarterly,0,9,Closed,0
James Johnson,22af2ddb-4757-49e8-b7bf-f0987ed73aab,45,1,338.32,2024-12-26,195,6,0.92,5398.24,415.25,2549.71,Bi-Monthly,1,0,Suspended,0
Emma Wilson,802b2267-7478-4ec5-a31f-787d35bd6f8d,20,6,374.85,2024-10-21,261,3,0.38,1279.89,142.21,3561.79,Bi-Monthly,0,7,Closed,1
Noah Brown,9737331e-5aa9-4c76-a4d1-b51c101426bb,39,8,414.41,2025-03-01,130,1,0.78,1157.78,231.56,3623.9,Monthly,0,6,Closed,1
Olivia Taylor,a3e73b8b-f5a6-4f7d-b813-9e70f5ecd3ac,48,7,263.31,2024-11-09,242,10,0.74,7134.68,648.61,3703.78,Quarterly,0,6,Closed,1
Olivia Wilson,b8fd1aa4-3426-4c1f-a002-12d0732291c1,55,3,173.13,2024-08-06,337,3,0.3,2891.53,289.15,4661.31,Quarterly,1,7,Suspended,1
Emma Smith,b76e6b82-46a1-49a1-a39a-33f44fbc6930,10,1,479.72,2025-05-23,47,0,0.0,9949.65,904.51,4271.39,Monthly,1,8,Active,0
Isabella Davis,74e1a925-a966-4d13-a5ed-71c5a1509969,8,3,232.01,2025-01-10,180,8,0.13,2842.36,568.47,670.14,Monthly,0,7,Suspended,1
Liam Brown,4d8d971c-b0a0-477b-9968-9529e630ef93,63,4,455.85,2025-02-05,154,8,0.91,7617.11,761.71,1291.92,Monthly,1,8,Closed,0
Sophia Taylor,c6744ba9-631b-4819-bd59-6f030d1fa9a8,84,5,425.71,2024-11-13,238,3,0.47,8199.18,546.61,4778.49,Monthly,0,11,Active,0
William Davis,75c864fb-ec11-4d86-b8aa-dd800d5bc3be,112,4,250.65,2025-01-01,189,10,0.13,2382.74,297.84,382.82,Monthly,0,10,Active,0
Liam Davis,8c85d667-f462-4ed8-992f-f765d2d0c26b,33,7,449.5,2025-02-08,151,0,0.0,3980.28,497.54,4910.65,Monthly,0,6,Closed,1
Ava Williams,a17ded71-b776-4d08-8bd8-0eb6515126f4,49,5,219.39,2025-06-06,33,5,0.44,5887.49,420.53,1325.93,Bi-Monthly,1,13,Active,0
Noah Jones,a1f37130-418f-4983-8290-c037a37a3816,85,1,304.68,2024-12-09,212,1,0.68,7736.47,1547.29,1213.78,Quarterly,1,5,Closed,1
Olivia Wilson,ea77709b-70f7-421a-8c51-f228ce5c2e19,74,6,341.06,2024-12-27,194,3,0.26,2217.55,158.4,3736.17,Monthly,1,5,Suspended,1
Isabella Davis,dc81ca46-caf2-46ee-8174-8711ca5857f1,12,6,480.76,2025-03-31,100,10,0.85,1993.22,199.32,35.81,Monthly,1,12,Active,0
Sophia Miller,0d6e4585-7f5b-49be-a4ef-66d2dc7e6c94,10,8,422.99,2024-10-09,273,5,0.33,4327.01,332.85,3862.87,Bi-Monthly,1,0,Closed,1
Liam Miller,6f76fc6a-50f2-4d37-a1ee-e19308af3cb5,29,8,305.78,2024-08-24,319,6,0.75,9556.32,735.1,4856.03,Bi-Monthly,0,13,Closed,0
William Moore,8ff59747-12bd-4366-835e-9efd0686d3cc,89,3,145.43,2025-05-20,50,2,0.83,7296.58,486.44,1094.66,Monthly,1,0,Closed,1
Ava Miller,cef81fa8-3d94-4bde-8084-f3490cd92aa1,55,1,485.83,2025-02-24,135,5,0.79,4192.99,419.3,3967.14,Monthly,1,12,Closed,1
William Brown,d821a8a1-40a3-4b4e-821a-3f3a31e744d2,98,7,183.81,2024-10-31,251,4,0.1,3475.39,231.69,3661.36,Quarterly,1,10,Suspended,1
Olivia Davis,1ab60fb1-1884-421b-8fe9-8f1260744cf0,22,8,434.71,2025-03-25,106,9,0.87,9540.7,1908.14,4090.41,Monthly,0,14,Suspended,1
Isabella Brown,89ea85d8-0d43-47dd-ac6c-57833de933ab,90,8,136.71,2025-01-24,166,5,0.64,5383.08,672.88,1915.69,Bi-Monthly,1,6,Active,0
Ava Wilson,6badf3ca-3016-4e2e-a32e-e2e6916f5cb2,22,6,341.88,2024-07-17,357,7,0.24,8590.13,954.46,3525.96,Monthly,0,10,Active,0
Liam Miller,a919ef9d-d1e4-43fa-acc9-8c449a36470a,23,8,383.06,2025-06-10,29,7,0.82,6767.53,1353.51,4467.95,Quarterly,1,3,Active,0
William Smith,fbc5fb91-eaba-4a98-9b02-7b8a28f5c64f,18,5,351.99,2024-12-22,199,3,0.47,1025.56,146.51,2129.03,Bi-Monthly,1,10,Active,0
James Smith,9f4a1dfc-a014-476e-8c09-9cc69e80eb4d,88,2,375.96,2025-01-15,175,7,0.95,9773.58,977.36,2052.36,Monthly,0,11,Suspended,0
James Davis,f6750db9-0d7e-4eb7-8347-08644edcf32e,51,4,320.74,2025-02-08,151,0,0.0,6826.24,487.59,3989.38,Bi-Monthly,1,14,Active,0
Isabella Davis,a31dd241-181a-4e40-8e90-a6e5ad75b7b5,48,4,287.31,2024-11-09,242,3,0.36,2009.03,143.5,805.73,Bi-Monthly,1,6,Suspended,1
Ava Brown,e07eeb8f-7d32-43f1-9dc8-1aa273d2d2fd,38,6,160.92,2025-03-08,123,3,0.72,4340.95,482.33,3514.28,Monthly,1,2,Active,0
Ava Davis,67495542-7162-4fd7-93d1-a7e8f23e1b61,88,5,390.96,2025-04-22,78,3,0.51,2483.63,413.94,4065.05,Bi-Monthly,0,7,Closed,0
Noah Davis,eaf80a63-a21b-43a8-b3fd-87342242e382,78,8,189.01,2025-02-23,136,4,0.1,2198.27,199.84,1397.1,Quarterly,1,3,Closed,1
James Miller,21960f70-360c-4a4a-8835-c45eecfd6bdc,87,2,155.3,2025-03-23,108,0,0.0,7843.78,522.92,4114.9,Quarterly,1,11,Active,0
James Brown,2cc90975-be55-4d4a-b8b3-8e4cc74e6516,4,5,492.45,2024-07-28,346,2,0.29,2415.25,172.52,1010.89,Monthly,1,13,Active,0
Emma Williams,ab03090a-61da-4d98-bbd6-d708684b1542,17,1,299.73,2024-12-01,220,0,0.0,3761.01,417.89,1685.64,Quarterly,0,3,Active,0
William Taylor,ad953b45-efe1-46a2-82bf-f3c83cb5dc0c,118,8,310.94,2025-02-20,139,5,0.32,1025.56,73.25,708.11,Monthly,1,2,Closed,0
Oliver Moore,4fc076c5-81cd-4811-a13e-feabdb394e58,43,4,469.03,2024-09-21,291,3,0.63,6055.41,403.69,1956.09,Quarterly,1,13,Closed,1
Noah Wilson,846fa85e-564c-434d-9821-a4d1c5f48cce,22,8,384.96,2025-04-23,77,2,0.87,8426.73,1404.45,487.33,Quarterly,1,2,Suspended,1
Emma Taylor,64493c96-8307-443f-91a6-710fe1630652,58,6,186.26,2025-07-08,1,1,0.04,5026.44,718.06,3451.95,Quarterly,0,4,Suspended,1
Isabella Taylor,3c8c0596-8a88-4e45-9dba-a6ecbba51a6b,106,3,420.08,2025-04-13,87,2,0.28,5492.61,457.72,2882.79,Bi-Monthly,1,2,Suspended,1
Olivia Jones,b5909e44-6e07-4566-bf48-d22413ee6cb4,70,6,457.25,2025-05-13,57,2,0.49,6742.91,674.29,4686.44,Quarterly,1,15,Suspended,1
Olivia Brown,6f673092-b898-405c-90a8-660384713a1e,117,8,287.83,2025-02-14,145,10,0.49,5199.84,866.64,4877.53,Bi-Monthly,1,2,Suspended,1
Emma Williams,4c1d8726-6745-4518-b2e2-d0c2cbb6dea7,73,3,452.18,2025-03-18,113,1,0.52,4089.28,584.18,4551.8,Monthly,1,10,Active,0
James Johnson,af35c487-8d02-4394-9428-af4144d96fe7,60,4,309.02,2025-06-16,23,8,0.65,8903.68,809.43,587.83,Monthly,1,9,Closed,1
Ava Davis,7bc93502-c7d3-4b96-a672-4f87a245ee33,39,1,279.83,2025-04-24,76,4,0.2,7761.92,1108.85,1187.25,Bi-Monthly,0,0,Active,0
Noah Wilson,c9a1fd3c-effb-4427-ba51-62da11b436f1,58,1,416.36,2025-01-10,180,7,0.01,5287.28,352.49,1383.71,Bi-Monthly,0,12,Active,0
William Brown,b6ae045a-f774-4599-87bd-6a6524212791,41,7,288.41,2025-06-23,16,8,0.91,5853.27,450.25,3099.97,Bi-Monthly,1,5,Closed,1
Sophia Smith,4b4ba42f-52a2-4eb3-94ef-4c295cb2cf35,99,6,228.4,2024-10-13,269,4,0.26,3859.25,296.87,1661.8,Bi-Monthly,1,1,Active,0
Oliver Davis,d7af69d2-9776-495f-8eb8-5340e9330469,101,7,306.96,2024-10-28,254,8,0.57,9784.91,698.92,867.54,Bi-Monthly,0,15,Closed,1
Emma Smith,18e1630a-256c-47ac-9be2-88b7e83402c9,87,8,437.87,2024-11-10,241,10,0.92,3329.13,416.14,2926.69,Quarterly,1,6,Closed,1
Liam Wilson,37d67847-7fe9-4223-94f5-5d69200eca7c,103,5,396.03,2024-09-15,297,6,0.62,3040.84,337.87,19.62,Monthly,0,13,Suspended,1
Isabella Moore,697a50af-999c-4e1d-92fd-0620f93cac4d,23,7,169.69,2025-01-28,162,1,0.63,7456.14,1491.23,3413.94,Monthly,1,13,Active,0
Isabella Wilson,96ddad66-b024-4ffb-96d1-fc54e445bb7f,80,3,465.61,2024-08-05,338,1,0.89,4891.08,611.38,2226.56,Bi-Monthly,1,3,Suspended,1
Ava Johnson,7c4e3de4-41fc-4833-96a9-e7074b33b0be,109,5,256.04,2025-06-12,27,2,0.25,1126.93,225.39,3844.97,Bi-Monthly,1,12,Suspended,1
Ava Brown,7ca377f9-be1b-4d91-94b1-66f25a558304,79,5,350.15,2025-03-05,126,5,0.35,7563.61,945.45,2199.96,Quarterly,0,3,Active,0
Emma Johnson,7d2967b6-c16e-46d2-8e8c-41d022f9f5dd,118,8,117.62,2024-10-22,260,4,1.0,5074.0,1014.8,3551.39,Monthly,1,11,Closed,0
James Johnson,edd45e4a-5f9b-4cd4-aa29-fe591db3f80c,106,7,119.5,2024-09-29,283,3,0.24,8172.25,817.23,4133.97,Monthly,0,0,Suspended,0
William Brown,b2d41106-7bc2-4a33-bdea-cb34c714873a,10,2,350.33,2025-03-06,125,6,0.39,4165.59,297.54,3365.04,Bi-Monthly,0,7,Active,0
William Moore,c1bc202b-bb21-487e-9f83-f5275a431b4f,75,5,111.31,2025-02-20,139,3,0.46,2120.92,163.15,1088.98,Quarterly,1,8,Suspended,0
Oliver Williams,3a4498d4-e16c-4018-a0de-ac415d8e6275,61,3,267.58,2025-01-13,177,2,0.95,7045.13,880.64,4454.25,Monthly,1,0,Active,0
James Smith,4c9aa42d-5d57-4984-a8a0-e78ef6a03699,12,7,239.65,2025-06-24,15,10,0.85,5337.06,593.01,2039.98,Quarterly,0,9,Suspended,1
Ava Johnson,fdf50a8e-e210-4c65-98be-6cf7a3241adc,16,8,474.91,2024-11-19,232,8,0.01,8023.28,1002.91,191.72,Monthly,0,10,Suspended,1
Liam Moore,76c62fbd-7446-4f91-b223-4ca70aaa00c2,91,3,443.56,2024-07-17,357,9,0.83,5009.63,500.96,2296.75,Quarterly,1,15,Suspended,1
Isabella Miller,c6ddce3c-a203-4b9e-9c59-3f8c498e8294,53,5,122.02,2025-06-26,13,6,0.69,1210.04,201.67,3538.39,Monthly,0,11,Closed,1
Liam Davis,4f0c4dd5-08c1-400d-9169-4ab65bf4bd9a,11,5,332.58,2024-09-13,299,0,0.0,1067.95,152.56,4054.23,Quarterly,1,0,Active,0
Noah Johnson,1496337d-4831-4664-b17a-5ec840feacce,51,4,254.49,2025-03-23,108,8,0.87,6514.42,1302.88,2001.24,Monthly,1,2,Suspended,0
Olivia Moore,3993dc7b-a961-445d-8044-e3a283679aa8,50,4,430.88,2025-05-07,63,1,0.06,8224.03,685.34,1589.76,Quarterly,1,5,Closed,0
Oliver Smith,92f5305f-6592-444f-9873-71d836f45820,79,4,222.28,2024-07-09,365,7,0.81,3434.58,286.21,395.22,Bi-Monthly,0,12,Closed,1
James Wilson,5b7dd5ff-8bcf-4b64-a039-8d1f025f7301,106,2,169.32,2024-11-11,240,7,0.84,6259.47,1043.25,1137.92,Quarterly,0,1,Suspended,0
Liam Taylor,5a28809f-6155-45f2-a7f6-37996fb61b05,26,5,252.75,2024-12-14,207,9,0.12,1861.03,310.17,1267.43,Monthly,1,3,Closed,1
